Latitude,Longitude,PlayCount
19.4325301,-99.1332101,7.0
17.95185255,-77.2719275504815,2.0
34.194945,-90.5747833761894,6.0
41.5051613,-81.6934445,28.0
51.4615884,-2.6202845,19.0
38.5896187,-89.4200639,3.0
34.257855,-90.6432145418438,18.0
38.980666,-76.9369188,1.0
38.7251776,-105.6077166,1.0
2.893108,-73.7845142,1.0
33.8948824,-118.2260433,1.0
55.6867243,12.5700724,12.0
25.6905515,-80.235008879837,1.0
42.5842136,-76.0704905,6.0
40.2905684,-81.927144,1.0
54.92075415,-7.95231355273584,2.0
52.408106,-1.5104559,3.0
51.1103444,-0.1801093,24.0
53.3832291,-1.5072217,2.0
-25.4295696,-49.2712361,1.0
51.6847538,-3.4475968,4.0
51.5413271,0.1481142,2.0
32.7762719,-96.7968558,14.0
33.4669721,-117.6981074,2.0
40.125222,-87.6304613,1.0
51.4474858,0.2192446,2.0
53.4546079,-2.3677346,11.0
47.2416708,-104.9259087,29.0
39.7589478,-84.1916068,21.0
39.8454163,-88.952415,1.0
37.7715165,29.0863125,1.0
33.1734745,-97.2348158635231,32.0
39.7391536,-104.9847033,5.0
51.4758453,-0.0215163,76.0
41.5910641,-93.6037148,17.0
42.3486635,-83.0567374,69.0
50.75,-2.3333329,3.0
33.9400143,-118.1325687,2.0
40.310004,-75.1304839,1.0
53.3497645,-6.2602731,40.0
46.7729322,-92.1251217,40.0
55.9441047,-4.569671,1.0
55.083333,-3.8333329,1.0
56.185001,-3.9627498,1.0
48.7786869,-123.7080393,1.0
-32.1447789,123.974298775,10.0
56.4593653,-2.9735212,6.0
56.0714428,-3.4591479,2.0
33.4359502,-90.820653,2.0
51.8885447,-0.5161862,2.0
54.7764152,-1.5758538,1.0
53.2922794,-6.1360078,16.0
51.2254018,6.7763137,2.0
50.3309808,19.1963279,1.0
51.5126553,-0.3051951,11.0
40.7612123,-73.8651357,1.0
51.5890823,-0.1660909,1.0
55.7653249,-4.1829939,1.0
33.6654335,-84.4864894515675,1.0
44.811349,-91.498494,6.0
55.9483544,-3.1931186,16.0
53.5343609,-113.5065084,1.0
50.9833,10.3166999,23.0
31.8111305,-106.501349295577,4.0
37.9774476,-122.2949893,1.0
46.9970635,-120.5451222,36.0
54.3448538,-7.6389364,1.0
39.7496052,39.4941023,1.0
59.3717379,16.5051474,1.0
39.7688564,30.5216465,3.0
51.7967047,0.579338882096011,5.0
40.8020712,-124.1636728,5.0
51.0000003,9.9999997,3.0
42.0447388,-87.6930458,51.0
51.3402278,-0.878442347233095,12.0
60.0038627,15.7906054,3.0
38.882334,-77.1710913,
50.1552197,-5.0688261,2.0
62.19889095,-6.81780730578171,2.0
31.6301664,-91.5545648,3.0
33.9845232,-101.3376573,1.0
50.8091426,4.3177512,
43.2624559,-93.637159,4.0
35.0081474,-90.7898341,17.0
49.7257568,-113.4053474,3.0
32.753177,-97.3327458,1.0
50.1106529,8.6820934,35.0
17.9771095,-76.774184156349,1.0
-38.1444728,145.1268808,2.0
55.678016,12.5326186,1.0
33.8708215,-117.9294164,1.0
33.9573115,-86.0678138379529,2.0
29.651907,-82.3247975,1.0
29.299328,-94.7945881,1.0
33.8883302,-118.3070891,1.0
41.6021292,-87.3371371,12.0
44.40726,8.9338624,1.0
43.5450394,-5.6626442,1.0
32.7287472,-94.9424378,1.0
36.9958841,-85.9119214,118.0
39.9464705,-80.7557586133873,1.0
53.28177815,-6.12826453557723,
34.1423455,-118.248367,3.0
57.7072326,11.9670171,10.0
43.0630734,-86.2283863,1.0
42.9632405,-85.6678638,4.0
51.2780817,-0.3737839,16.0
38.7912233,-75.1671288,1.0
34.851354,-82.3984881,2.0
52.0367323,1.168934,4.0
53.22179255,6.5582454164798,1.0
51.237195,-0.5811778,1.0
33.9209365,-93.154059,1.0
55.0501027,-8.2322025,2.0
39.963939,35.2552424,1.0
40.0317393,-80.2178386,2.0
44.6484246,-63.5749723,1.0
56.6739826,12.8574827,1.0
53.5503414,10.000654,9.0
48.5434144,-1.2105183,13.0
38.2076974,-122.9255523,18.0
51.083333,-1.1666669,4.0
53.3501757,-2.215825,2.0
52.5088327,-1.93873,1.0
51.6428682,-111.9269666,2.0
52.3744779,9.7385532,2.0
61.3121553,22.1336155,1.0
40.8078786,-73.9454153,5.0
41.9220118,-77.8541637,1.0
40.2663107,-76.8861121,
38.4493315,-78.8688832,1.0
59.4154805,5.2636464,2.0
21.6097122,-157.9122491,44.0
51.0043613,-2.33747484262951,1.0
33.9113109,-118.3477941,5.0
53.7407227,-2.0093752,10.0
49.4093608,8.6948125,2.0
55.7336657,12.5655408,1.0
60.1666277,24.9435079,26.0
51.7511784,-0.4725279,28.0
40.8156124,-90.9104546,2.0
52.0553813,-2.7151734,2.0
28.5710156,-82.4605067,1.0
51.7957409,-0.0785209,39.0
51.4854573,-0.371956,3.0
54.971478,-2.1017926,4.0
53.4742151,-1.4931659,12.0
50.6232995,-2.5044408,2.0
44.96276785,-73.0704121805551,1.0
51.9464129,-0.2791645,2.0
-42.8825087,147.3281233,6.0
40.7433066,-74.0323751,88.0
21.304547,-157.8556763,6.0
51.4686132,-0.361347,2.0
29.7589382,-95.3676973,18.0
53.3898917,-3.1788085,4.0
52.3314292,-0.1847722,2.0
33.6781238,-118.0000111,2.0
33.9816812,-118.2250724,12.0
44.3535101,11.7141225,1.0
40.3270127,-86.1746932,1.0
39.7683331,-86.1583501,2.0
33.4509513,-90.6550916,1.0
52.865196,-7.9794598,7.0
33.6856969,-117.8259818,4.0
50.6710482,-1.33271101331995,
51.5384287,-0.099905,1.0
47.5348778,-122.0432973,44.0
32.71276875,-91.0080265109067,5.0
41.0096334,28.9651646,66.0
45.28979315,5.63438247738623,2.0
32.2990384,-90.184769,3.0
30.3321838,-81.6556509,10.0
40.7281575,-74.0776416,2.0
31.7791134,35.2266286,1.0
39.0844687,-94.5630297,63.0
63.9997694,-22.5565372,3.0
54.3272621,-2.7482987,12.0
38.4011434,-82.5769365,1.0
37.5726028,-85.155141,1.0
40.7302467,-73.8184805,19.0
40.81726415,26.6106299916512,1.0
32.8855082,-6.9092379,1.0
18.4448656,1.409565,1.0
55.6101306,-4.4985358,2.0
55.9732581,-4.0705293,2.0
-31.96220435,115.832524990725,1.0
50.9863244,-114.0773407,66.0
17.9712148,-76.7928127,25.0
51.4096275,-0.306262,1.0
46.6228162,14.3079604,1.0
40.7684074,29.9683195,1.0
22.5677459,88.3476023,6.0
37.96299085,22.7333423672362,1.0
50.81788085,3.27841539037433,15.0
41.2351957,-85.852973,2.0
51.3331205,6.5623343,2.0
50.4501071,30.5240501,9.0
52.9422944,-66.917729,1.0
51.5173184,-0.209774,2.0
20.0171109,103.378253,1.0
43.4754178,10.7282838,15.0
30.2265949,-93.2173758,1.0
42.2586342,-87.8406249,17.0
53.86117155,-2.54711144031047,1.0
40.03813,-76.3056685,4.0
42.7337712,-84.5553804,1.0
36.1662859,-115.1492249,33.0
43.5225,3.19507,1.0
38.9719384,-95.2359495,2.0
49.0016863,2.2330815,1.0
53.7974185,-1.543794,17.0
52.6367811,-1.1312288,346.0
51.1936134,-2.4259759,3.0
30.9335146,-91.7048401,19.0
51.4624325,-0.010133,1.0
