id,name,type,begin_area_id,begin_area_name,area_id,area_name,place_id,place
2a85ecff-41e9-4be1-aca6-c87054a4c334,Buena Vista Social Club,Group,,,b06c4e86-97f7-3419-84a9-a23c60ea0b22,Cuba,b06c4e86-97f7-3419-84a9-a23c60ea0b22,Cuba
51c76d97-0635-433c-b26d-66beb81657f8,Lord Huron,Person,,,489ce91b-6658-3307-9877-795b68554c98,United States,489ce91b-6658-3307-9877-795b68554c98,United States
e476adc4-d5e7-427a-b86f-70ecc970b009,大塚愛,Person,,,2db42837-c832-3c27-b4a3-08198f75693c,Japan,2db42837-c832-3c27-b4a3-08198f75693c,Japan
43107061-a4fe-4efc-81ba-5515ddd26053,Milo Greene,Group,1f40c6e1-47ba-4e35-996f-fe6ee5840e62,Los Angeles,489ce91b-6658-3307-9877-795b68554c98,United States,1f40c6e1-47ba-4e35-996f-fe6ee5840e62,Los Angeles
c7020c6d-cae9-4db3-92a7-e5c561cbad50,Keane,Group,0ca8bb81-1a89-459c-8c0a-9e9bd831d8d9,Battle,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,0ca8bb81-1a89-459c-8c0a-9e9bd831d8d9,Battle
f53888c9-8bdc-4cc3-b2ab-ddab6bc5afb7,Mark,Person,,,489ce91b-6658-3307-9877-795b68554c98,United States,489ce91b-6658-3307-9877-795b68554c98,United States
f463a056-ae06-445b-bab2-449b11482bf2,Leslie Feist,Person,5251d1b8-2cf6-4960-8c9a-346e07f1293c,Amherst,71bbafaa-e825-3e15-8ca9-017dcad1748b,Canada,5251d1b8-2cf6-4960-8c9a-346e07f1293c,Amherst
fa34b363-79df-434f-a5b8-be4e6898543f,Ludovico Einaudi,Person,8522a441-2c8b-46fd-8dd6-fd5bbecb38fa,Turin,c6500277-9a3d-349b-bf30-41afdbf42add,Italy,8522a441-2c8b-46fd-8dd6-fd5bbecb38fa,Turin
e49f69da-17d5-4c5c-bac0-dadcb0e588f5,Mark Knopfler,Person,c279f805-01f8-46f5-99cf-51f165a1adad,Glasgow,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,c279f805-01f8-46f5-99cf-51f165a1adad,Glasgow
ef43cee7-13f5-4d10-844e-879aba3d8b19,Camera Obscura,Group,82f3a697-ba65-404d-a1ed-360147af7d10,San Diego,489ce91b-6658-3307-9877-795b68554c98,United States,82f3a697-ba65-404d-a1ed-360147af7d10,San Diego
6c8b9855-ba8b-48f9-ac1d-42167f7f7b18,The Shins,Group,075e1cc9-9567-4317-a931-4f6dcecc688f,Albuquerque,489ce91b-6658-3307-9877-795b68554c98,United States,075e1cc9-9567-4317-a931-4f6dcecc688f,Albuquerque
b328de0e-ee48-4d74-9d36-7c7ee16ffc69,GoGo Penguin,Group,852531bf-3410-401f-b432-9c3157a386b9,Manchester,852531bf-3410-401f-b432-9c3157a386b9,Manchester,852531bf-3410-401f-b432-9c3157a386b9,Manchester
8af64037-6d26-4d24-afd8-7e085abb01b1,The Impressions,Group,29a709d8-0320-493e-8d0c-f2c386662b7f,Chicago,489ce91b-6658-3307-9877-795b68554c98,United States,29a709d8-0320-493e-8d0c-f2c386662b7f,Chicago
5298bbcb-7330-49bf-a780-2d757f10a20a,Roberta Flack,Person,07245922-a0e4-4603-b9a1-d293a0dee156,Black Mountain,489ce91b-6658-3307-9877-795b68554c98,United States,07245922-a0e4-4603-b9a1-d293a0dee156,Black Mountain
98b42b24-6db9-4de6-bd0c-16d4b86c3724,Kat Edmonson,Person,c920948b-83e3-40b7-8fe9-9ab5abaac55b,Houston,489ce91b-6658-3307-9877-795b68554c98,United States,c920948b-83e3-40b7-8fe9-9ab5abaac55b,Houston
d576231e-c0b6-4a42-a4f4-011f06b9095c,Tyrone Wells,Person,10adc6b5-63bf-4b4e-993e-ed83b05c22fc,Seattle,489ce91b-6658-3307-9877-795b68554c98,United States,10adc6b5-63bf-4b4e-993e-ed83b05c22fc,Seattle
